scheme,fold,held_out,n_test,test_median,test_mean,test_sd,train_mean,train_sd,pct_out_of_range
kfold_loc_time,7,s1t1,46,7.0,9.35,6.41,7.17,8.16,0.0
kfold_loc_time,8,s1t2,5,4.0,5.4,3.21,7.69,8.27,0.0
kfold_loc_time,9,s1t3,63,4.0,4.67,3.49,7.03,6.94,0.0
kfold_loc_time,10,s1t4,66,5.0,9.39,10.32,7.82,6.64,0.0
kfold_loc_time,11,s1t5,14,5.5,6.36,2.95,7.68,8.07,0.0
kfold_loc_time,12,s2t0,18,2.0,10.83,14.06,7.42,7.44,0.0
kfold_loc_time,13,s2t1,39,8.0,10.13,6.1,7.28,8.21,0.0
kfold_loc_time,14,s2t2,5,5.0,4.8,1.48,7.76,8.33,0.0
kfold_loc_time,15,s2t3,58,4.5,5.28,4.1,6.74,6.54,0.0
kfold_loc_time,16,s2t4,72,4.0,6.97,8.47,7.41,6.19,0.0
kfold_loc_time,17,s2t5,17,3.0,4.29,2.8,7.65,8.04,0.0
kfold_loc_time,18,s3t0,10,2.0,7.2,11.09,7.33,7.22,0.0
kfold_loc_time,19,s3t1,48,7.0,8.48,4.64,7.2,8.09,0.0
kfold_loc_time,20,s3t2,3,6.0,6.33,1.53,7.79,8.25,0.0
kfold_loc_time,21,s3t3,61,5.0,6.02,4.11,7.25,7.26,0.0
kfold_loc_time,22,s3t4,62,4.0,9.13,11.62,7.94,7.11,0.0
kfold_loc_time,23,s3t5,28,3.0,3.57,1.93,7.48,8.0,0.0
kfold_loc_time,24,s4t0,33,2.0,7.06,11.72,7.33,7.39,3.0
kfold_loc_time,25,s4t1,50,7.5,8.84,5.5,7.1,8.07,0.0
kfold_loc_time,26,s4t2,8,5.0,4.75,1.04,7.15,8.03,0.0
kfold_loc_time,27,s4t3,51,6.0,6.63,4.06,7.32,6.87,0.0
kfold_loc_time,28,s4t4,50,4.0,8.64,10.62,7.96,6.59,2.0
kfold_loc_time,29,s4t5,36,3.0,4.33,2.69,7.44,7.94,0.0
kfold_time,0,t0_2003-2010,112,2.0,6.23,10.29,7.3,7.3,0.9
kfold_time,1,t1_2012-2014,228,7.0,9.21,5.97,7.18,8.14,0.0
kfold_time,2,t2_2017-2018,35,5.0,4.86,1.87,7.73,8.27,0.0
kfold_time,3,t3_2019-2021,300,5.0,5.4,3.95,7.09,6.93,0.0
kfold_time,4,t4_2022-2024,298,4.0,9.05,10.48,7.95,6.79,0.0
kfold_time,5,t5_2025-2026,109,4.0,4.41,2.59,7.58,8.03,0.0
lodo_dataset,0,NA,21,22.0,24.24,12.77,6.84,7.04,4.8
lodo_dataset,1,md002,30,7.0,6.9,2.34,7.18,7.67,0.0
lodo_dataset,2,md003,39,17.0,17.05,5.38,6.81,7.39,0.0
lodo_dataset,3,md004,92,2.0,2.08,1.06,7.65,7.74,0.0
lodo_dataset,4,md005,21,4.0,4.38,1.47,7.23,7.64,0.0
lodo_dataset,5,md006,89,1.0,1.64,0.8,7.67,7.71,0.0
lodo_dataset,6,md008,37,5.0,5.08,2.07,7.25,7.69,0.0
lodo_dataset,7,md009,47,11.0,11.43,3.83,6.98,7.65,0.0
lodo_dataset,8,md015,57,13.0,13.18,3.85,6.84,7.59,0.0
lodo_dataset,9,md019,101,4.0,4.7,2.1,7.43,7.88,0.0
lodo_dataset,10,md020,127,6.0,6.75,2.53,7.23,8.01,0.0
lodo_dataset,11,md021,62,5.0,5.08,2.03,7.3,7.77,0.0
lodo_dataset,12,md022,181,3.0,2.88,1.32,8.04,8.01,0.0
lodo_dataset,13,md023,60,27.0,28.17,8.0,5.94,5.44,0.0
lodo_dataset,14,md025,49,5.0,5.53,2.61,7.25,7.72,0.0
lodo_owner,0,"Altamirano, A.",101,4.0,4.7,2.1,7.43,7.88,0.0
lodo_owner,1,"Becerra, P.I.",60,27.0,28.17,8.0,5.94,5.44,0.0
lodo_owner,2,"Craven, D.",62,5.0,5.08,2.03,7.3,7.77,0.0
lodo_owner,3,"Dobbs, C. & Miranda, M.D.",89,1.0,1.64,0.8,7.67,7.71,0.0
lodo_owner,4,"Galleguillos, M.",196,7.5,8.82,5.25,6.81,7.95,0.0
lodo_owner,5,"Lopatin, J.",181,3.0,2.88,1.32,8.04,8.01,0.0
lodo_owner,6,"Miranda, A.",113,2.0,2.5,1.45,7.72,7.81,0.0
lodo_owner,7,"Ovalle, J.F.",177,6.0,6.9,3.88,7.23,8.1,0.0
lodo_owner,8,"Zamorano-Elgueta, C.",57,13.0,13.18,3.85,6.84,7.59,0.0
lodo_owner,9,sPlot,21,22.0,24.24,12.77,6.84,7.04,4.8
time_within_owner,0,t0_within,112,2.0,6.23,10.29,7.3,7.3,0.9
time_within_owner,1,t1_within,70,11.0,12.49,6.72,7.18,8.14,0.0
time_within_owner,2,t2_within,35,5.0,4.86,1.87,7.73,8.27,0.0
time_within_owner,3,t3_within,186,6.0,7.26,3.73,7.09,6.93,0.0
time_within_owner,4,t4_within,176,3.0,3.93,2.46,7.95,6.79,0.0
time_within_owner,5,t5_within,109,4.0,4.41,2.59,7.58,8.03,0.0
